elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
0.120492,0,0,0,0
0.121905,0,0,0,0
0.123285,0,0,0,0
0.124665,0,0,0,0
0.126044,0,0,0,0
0.127763,0,0,0,0
0.129414,0,0,0,0
0.131006,0,0,0,0
0.132547,0,0,0,0
0.133966,0,0,0,0
0.135485,0,0,0,0
0.137031,0,0,0,0
0.138585,0,0,0,0
0.140133,0,0,0,0
0.141699,0,0,0,0
0.143248,0,0,0,0
0.144795,0,0,0,0
0.146387,0,0,0,0
0.147936,0,0,0,0
0.149485,0,0,0,0
0.151033,0,0,0,0
0.152595,0,0,0,0
0.154187,0,0,0,0
0.155737,0,0,0,0
0.157289,0,0,0,0
0.158838,0,0,0,0
0.160386,0,0,0,0
0.161979,0,0,0,0
0.163420,0,0,0,0
0.164937,0,0,0,0
0.166434,0,0,0,0
0.167950,0,0,0,0
0.169381,0,0,0,0
0.170949,0,0,0,0
0.172497,0,0,0,0
0.174063,0,0,0,0
0.175613,0,0,0,0
0.177162,0,0,0,0
0.178718,0,0,0,0
0.180266,0,0,0,0
0.181819,0,0,0,0
0.183369,0,0,0,0
0.184931,0,0,0,0
0.186541,0,0,0,0
0.188090,0,0,0,0
0.189642,0,0,0,0
0.191192,0,0,0,0
0.192741,0,0,0,0
0.194336,0,0,0,0
0.195900,0,0,0,0
0.197452,0,0,0,0
0.199002,0,0,0,0
0.200551,0,0,0,0
0.202146,0,0,0,0
0.203697,0,0,0,0
0.205245,0,0,0,0
0.206830,0,0,0,0
0.208223,0,0,0,0
0.209785,0,0,0,0
0.211335,0,0,0,0
0.212883,0,0,0,0
0.214433,0,0,0,0
0.215984,0,0,0,0
0.217551,0,0,0,0
0.219145,0,0,0,0
0.220694,0,0,0,0
0.222244,0,0,0,0
0.223794,0,0,0,0
0.225346,0,0,0,0
0.226887,0,0,0,0
0.228443,0,0,0,0
0.229860,0,0,0,0
0.231379,0,0,0,0
0.232927,0,0,0,0
0.234528,0,0,0,0
0.236076,0,0,0,0
0.237628,0,0,0,0
0.239192,0,0,0,0
0.240741,0,0,0,0
0.242334,0,0,0,0
0.243885,0,0,0,0
0.245435,0,0,0,0
0.246985,0,0,0,0
0.248533,0,0,0,0
0.250142,0,0,0,0
