elapsed_s,RB_NEVER_COUNT,RB_BUSY_CYCLES,RB_STALL_CYCLES_HLSQ,RB_STALL_CYCLES_FIFO0_FULL,RB_STALL_CYCLES_FIFO1_FULL,RB_STALL_CYCLES_FIFO2_FULL,RB_STARVE_CYCLES_SP,RB_STARVE_CYCLES_LRZ_TILE
0.475779,0,0,0,0,0,0,0,0
0.477320,0,0,0,0,0,0,0,0
0.478887,0,0,0,0,0,0,0,0
0.480461,0,0,0,0,0,0,0,0
0.482028,0,0,0,0,0,0,0,0
0.483524,0,0,0,0,0,0,0,0
0.485085,0,0,0,0,0,0,0,0
0.486665,0,0,0,0,0,0,0,0
0.488207,0,0,0,0,0,0,0,0
0.489755,0,0,0,0,0,0,0,0
0.491412,0,0,0,0,0,0,0,0
0.492985,0,0,0,0,0,0,0,0
0.494556,0,0,0,0,0,0,0,0
0.496128,0,0,0,0,0,0,0,0
0.497712,0,0,0,0,0,0,0,0
0.499329,0,0,0,0,0,0,0,0
0.500892,0,0,0,0,0,0,0,0
0.502453,0,0,0,0,0,0,0,0
0.503889,0,0,0,0,0,0,0,0
0.505429,0,0,0,0,0,0,0,0
0.507074,0,0,0,0,0,0,0,0
0.508630,0,0,0,0,0,0,0,0
0.510026,0,0,0,0,0,0,0,0
0.511459,0,0,0,0,0,0,0,0
0.512871,0,0,0,0,0,0,0,0
0.514279,0,0,0,0,0,0,0,0
0.515687,0,0,0,0,0,0,0,0
0.517126,0,0,0,0,0,0,0,0
0.518661,0,0,0,0,0,0,0,0
0.520307,0,0,0,0,0,0,0,0
0.521875,0,0,0,0,0,0,0,0
0.523488,0,0,0,0,0,0,0,0
0.525058,0,0,0,0,0,0,0,0
0.526626,0,0,0,0,0,0,0,0
0.528068,0,0,0,0,0,0,0,0
0.529609,0,0,0,0,0,0,0,0
0.531235,0,0,0,0,0,0,0,0
0.532805,0,0,0,0,0,0,0,0
0.534372,0,0,0,0,0,0,0,0
0.535943,0,0,0,0,0,0,0,0
0.537513,0,0,0,0,0,0,0,0
0.539125,0,0,0,0,0,0,0,0
0.540695,0,0,0,0,0,0,0,0
0.542278,0,0,0,0,0,0,0,0
0.543847,0,0,0,0,0,0,0,0
0.545416,0,0,0,0,0,0,0,0
0.547028,0,0,0,0,0,0,0,0
0.548599,0,0,0,0,0,0,0,0
0.550166,0,0,0,0,0,0,0,0
0.551737,0,0,0,0,0,0,0,0
0.553322,0,0,0,0,0,0,0,0
0.554933,0,0,0,0,0,0,0,0
0.556507,0,0,0,0,0,0,0,0
0.558074,0,0,0,0,0,0,0,0
0.559646,0,0,0,0,0,0,0,0
