elapsed_s,PC_US_STALL_CYCLES_COMPUTE_GFX,PC_US_STALL_CYCLES_GFX_COMPUTE,PC_US_PREDRAW_STALLS,PC_US_DP0_INPUT_STALLS,PC_US_DP1_INPUT_STALLS,PC_US_BR_STALLS_BV_WORKLOAD,PC_US_BV_STALLS_BR_WORKLOAD,PC_US_PASSPAIR_STALL
0.197614,0,0,0,0,0,0,0,0
0.199121,0,0,0,0,0,0,0,0
0.200532,0,0,0,0,0,0,0,0
0.201942,0,0,0,0,0,0,0,0
0.203356,0,0,0,0,0,0,0,0
0.204763,0,0,0,0,0,0,0,0
0.206172,0,0,0,0,0,0,0,0
0.207706,0,0,0,0,0,0,0,0
0.209286,0,0,0,0,0,0,0,0
0.210747,0,0,0,0,0,0,0,0
0.212297,0,0,0,0,0,0,0,0
0.213869,0,0,0,0,0,0,0,0
0.215634,0,0,0,0,0,0,0,0
0.217206,0,0,0,0,0,0,0,0
0.218779,0,0,0,0,0,0,0,0
0.220367,0,0,0,0,0,0,0,0
0.221943,0,0,0,0,0,0,0,0
0.223518,0,0,0,0,0,0,0,0
0.225090,0,0,0,0,0,0,0,0
0.226666,0,0,0,0,0,0,0,0
0.228242,0,0,0,0,0,0,0,0
0.229814,0,0,0,0,0,0,0,0
0.231407,0,0,0,0,0,0,0,0
0.232979,0,0,0,0,0,0,0,0
0.234555,0,0,0,0,0,0,0,0
0.236129,0,0,0,0,0,0,0,0
0.237746,0,0,0,0,0,0,0,0
0.239324,0,0,0,0,0,0,0,0
0.240896,0,0,0,0,0,0,0,0
0.242486,0,0,0,0,0,0,0,0
0.244060,0,0,0,0,0,0,0,0
0.245632,0,0,0,0,0,0,0,0
0.247211,0,0,0,0,0,0,0,0
0.248783,0,0,0,0,0,0,0,0
0.250358,0,0,0,0,0,0,0,0
0.251932,0,0,0,0,0,0,0,0
0.255424,0,0,0,0,0,0,0,0
0.260267,0,0,0,0,0,0,0,0
0.261701,0,0,0,0,0,0,0,0
0.263162,0,0,0,0,0,0,0,0
0.264573,0,0,0,0,0,0,0,0
0.265999,0,0,0,0,0,0,0,0
0.267404,0,0,0,0,0,0,0,0
0.268806,0,0,0,0,0,0,0,0
0.270212,0,0,0,0,0,0,0,0
0.271621,0,0,0,0,0,0,0,0
0.273029,0,0,0,0,0,0,0,0
0.274440,0,0,0,0,0,0,0,0
0.275849,0,0,0,0,0,0,0,0
0.277275,0,0,0,0,0,0,0,0
0.278721,0,0,0,0,0,0,0,0
0.280129,0,0,0,0,0,0,0,0
0.281538,0,0,0,0,0,0,0,0
0.282941,0,0,0,0,0,0,0,0
0.284343,0,0,0,0,0,0,0,0
0.285744,0,0,0,0,0,0,0,0
0.287334,0,0,0,0,0,0,0,0
0.288952,0,0,0,0,0,0,0,0
0.290528,0,0,0,0,0,0,0,0
0.292082,0,0,0,0,0,0,0,0
0.294035,0,0,0,0,0,0,0,0
0.295535,0,0,0,0,0,0,0,0
0.296958,0,0,0,0,0,0,0,0
0.298367,0,0,0,0,0,0,0,0
0.299790,0,0,0,0,0,0,0,0
0.301193,0,0,0,0,0,0,0,0
0.302596,0,0,0,0,0,0,0,0
0.303999,0,0,0,0,0,0,0,0
0.305523,0,0,0,0,0,0,0,0
0.307217,0,0,0,0,0,0,0,0
0.308782,0,0,0,0,0,0,0,0
0.310234,0,0,0,0,0,0,0,0
0.311813,0,0,0,0,0,0,0,0
0.313375,0,0,0,0,0,0,0,0
0.315069,0,0,0,0,0,0,0,0
0.316502,0,0,0,0,0,0,0,0
0.317933,0,0,0,0,0,0,0,0
0.319347,0,0,0,0,0,0,0,0
0.320770,0,0,0,0,0,0,0,0
0.322184,0,0,0,0,0,0,0,0
0.323594,0,0,0,0,0,0,0,0
0.325232,0,0,0,0,0,0,0,0
0.326850,0,0,0,0,0,0,0,0
0.328424,0,0,0,0,0,0,0,0
0.330000,0,0,0,0,0,0,0,0
0.331589,0,0,0,0,0,0,0,0
0.333162,0,0,0,0,0,0,0,0
0.334738,0,0,0,0,0,0,0,0
0.336313,0,0,0,0,0,0,0,0
0.337966,0,0,0,0,0,0,0,0
0.339531,0,0,0,0,0,0,0,0
0.340938,0,0,0,0,0,0,0,0
0.342396,0,0,0,0,0,0,0,0
0.343935,0,0,0,0,0,0,0,0
0.345507,0,0,0,0,0,0,0,0
0.347079,0,0,0,0,0,0,0,0
0.348652,0,0,0,0,0,0,0,0
0.350227,0,0,0,0,0,0,0,0
0.351801,0,0,0,0,0,0,0,0
0.353263,0,0,0,0,0,0,0,0
0.354808,0,0,0,0,0,0,0,0
0.356382,0,0,0,0,0,0,0,0
0.357957,0,0,0,0,0,0,0,0
0.359531,0,0,0,0,0,0,0,0
0.361104,0,0,0,0,0,0,0,0
0.362680,0,0,0,0,0,0,0,0
0.364268,0,0,0,0,0,0,0,0
0.365840,0,0,0,0,0,0,0,0
